Date,Open,High,Low,Close
01/14/22,4637.99,4665.13,4614.75,4662.85
01/13/22,4733.56,4744.13,4650.29,4659.03
01/12/22,4728.59,4748.83,4706.71,4726.35
01/11/22,4669.14,4714.13,4638.27,4713.07
01/10/22,4655.34,4673.02,4582.24,4670.29
01/07/22,4697.66,4707.95,4662.74,4677.03
01/06/22,4693.39,4725.01,4671.26,4696.05
01/05/22,4787.99,4797.7,4699.44,4700.58
01/04/22,4804.51,4818.62,4774.27,4793.54
01/03/22,4778.14,4796.64,4758.17,4796.56
12/31/21,4775.21,4786.83,4765.75,4766.18
12/30/21,4794.23,4808.93,4775.33,4778.73
12/29/21,4788.64,4804.06,4778.08,4793.06
12/28/21,4795.49,4807.02,4780.04,4786.35
12/27/21,4733.99,4791.49,4733.99,4791.19
12/23/21,4703.96,4740.74,4703.96,4725.79
12/22/21,4650.36,4697.67,4645.53,4696.56
12/21/21,4594.96,4651.14,4583.16,4649.23
12/20/21,4587.9,4587.9,4531.1,4568.02
12/17/21,4652.5,4666.7,4600.22,4620.64
12/16/21,4719.13,4731.99,4651.89,4668.67
12/15/21,4636.46,4712.6,4611.22,4709.85
12/14/21,4642.99,4660.47,4606.52,4634.09
12/13/21,4710.3,4710.3,4667.6,4668.97
12/10/21,4687.64,4713.57,4670.24,4712.02
12/09/21,4691,4695.26,4665.98,4667.45
12/08/21,4690.86,4705.06,4674.52,4701.21
12/07/21,4631.97,4694.04,4631.97,4686.75
12/06/21,4548.37,4612.6,4540.51,4591.67
12/03/21,4589.49,4608.03,4495.12,4538.43
12/02/21,4504.73,4595.46,4504.73,4577.1
12/01/21,4602.82,4652.94,4510.27,4513.04
11/30/21,4640.25,4646.02,4560,4567
11/29/21,4628.75,4672.95,4625.26,4655.27
11/26/21,4664.63,4664.63,4585.43,4594.62
11/24/21,4675.78,4702.87,4659.89,4701.46
11/23/21,4678.48,4699.39,4652.66,4690.7
11/22/21,4712,4743.83,4682.17,4682.94
11/19/21,4708.44,4717.75,4694.22,4697.96
11/18/21,4700.72,4708.8,4672.78,4704.54
11/17/21,4701.5,4701.5,4684.41,4688.67
11/16/21,4679.42,4714.95,4679.42,4700.9
11/15/21,4689.3,4697.42,4672.86,4682.8
11/12/21,4655.24,4688.47,4650.77,4682.85
11/11/21,4659.39,4664.55,4648.31,4649.27
11/10/21,4670.26,4684.85,4630.86,4646.71
11/09/21,4707.25,4708.53,4670.87,4685.25
11/08/21,4701.48,4714.92,4694.39,4701.7
11/05/21,4699.26,4718.5,4681.32,4697.53
11/04/21,4662.93,4683,4662.59,4680.06
11/03/21,4630.65,4663.46,4621.19,4660.57
11/02/21,4613.34,4635.15,4613.34,4630.65
11/01/21,4610.62,4620.34,4595.06,4613.67
10/29/21,4572.87,4608.08,4567.59,4605.38
10/28/21,4562.84,4597.55,4562.84,4596.42
10/27/21,4580.22,4584.57,4551.66,4551.68
10/26/21,4578.69,4598.53,4569.17,4574.79
10/25/21,4553.69,4572.62,4537.36,4566.48
10/22/21,4546.12,4559.67,4524,4544.9
10/21/21,4532.24,4551.44,4526.89,4549.78
10/20/21,4524.42,4540.87,4524.4,4536.19
10/19/21,4497.34,4520.4,4496.41,4519.63
10/18/21,4463.72,4488.75,4447.47,4486.46
10/15/21,4447.69,4475.82,4447.69,4471.37
10/14/21,4386.75,4439.73,4386.75,4438.26
10/13/21,4358.01,4372.87,4329.92,4363.8
10/12/21,4368.31,4374.89,4342.09,4350.65
10/11/21,4385.44,4415.88,4360.59,4361.19
10/08/21,4406.51,4412.02,4386.22,4391.34
10/07/21,4383.73,4429.97,4383.73,4399.76
10/06/21,4319.57,4365.57,4290.49,4363.55
10/05/21,4309.87,4369.23,4309.87,4345.72
10/04/21,4348.84,4355.51,4278.94,4300.46
10/01/21,4317.16,4375.19,4288.52,4357.04
09/30/21,4370.67,4382.55,4306.24,4307.54
09/29/21,4362.41,4385.57,4355.08,4359.46
09/28/21,4419.54,4419.54,4346.33,4352.63
09/27/21,4442.12,4457.3,4436.19,4443.11
09/24/21,4438.04,4463.12,4430.27,4455.48
09/23/21,4406.75,4465.4,4406.75,4448.98
09/22/21,4367.43,4416.75,4367.43,4395.64
09/21/21,4374.45,4394.87,4347.96,4354.19
09/20/21,4402.95,4402.95,4305.91,4357.73
09/17/21,4469.74,4471.52,4427.76,4432.99
09/16/21,4477.09,4485.87,4443.8,4473.75
09/15/21,4447.49,4486.87,4438.37,4480.7
09/14/21,4479.33,4485.68,4435.46,4443.05
09/13/21,4474.81,4492.99,4445.7,4468.73
09/10/21,4506.92,4520.47,4457.66,4458.58
09/09/21,4513.02,4529.9,4492.07,4493.28
09/08/21,4518.09,4521.79,4493.95,4514.07
09/07/21,4535.38,4535.38,4513,4520.03
09/03/21,4532.42,4541.45,4521.3,4535.43
09/02/21,4534.48,4545.85,4524.66,4536.95
09/01/21,4528.8,4537.11,4522.02,4524.09
08/31/21,4529.75,4531.39,4515.8,4522.68
08/30/21,4513.76,4537.36,4513.76,4528.79
08/27/21,4474.1,4513.33,4474.1,4509.37
08/26/21,4493.75,4495.9,4468.99,4470
08/25/21,4490.45,4501.71,4485.66,4496.19
08/24/21,4484.4,4492.81,4482.28,4486.23
08/23/21,4450.29,4489.88,4450.29,4479.53
08/20/21,4410.56,4444.35,4406.8,4441.67
08/19/21,4382.44,4418.61,4367.73,4405.8
08/18/21,4440.94,4454.32,4397.59,4400.27
08/17/21,4462.12,4462.12,4417.83,4448.08
08/16/21,4461.65,4480.26,4437.66,4479.71
08/13/21,4464.84,4468.37,4460.82,4468
08/12/21,4446.08,4461.77,4435.96,4460.83
08/11/21,4442.18,4449.44,4436.42,4447.7
08/10/21,4435.79,4445.21,4430.03,4436.75
08/09/21,4437.77,4439.39,4424.74,4432.35
08/06/21,4429.07,4440.82,4429.07,4436.52
08/05/21,4408.86,4429.76,4408.86,4429.1
08/04/21,4415.95,4416.17,4400.23,4402.66
08/03/21,4392.74,4423.79,4373,4423.15
08/02/21,4406.86,4422.18,4384.81,4387.16
07/30/21,4395.12,4412.25,4389.65,4395.26
07/29/21,4403.59,4429.97,4403.59,4419.15
07/28/21,4402.95,4415.47,4387.01,4400.64
07/27/21,4416.38,4416.38,4372.51,4401.46
07/26/21,4409.58,4422.73,4405.45,4422.3
07/23/21,4381.2,4415.18,4381.2,4411.79
07/22/21,4361.27,4369.87,4350.06,4367.48
07/21/21,4331.13,4359.7,4331.13,4358.69
07/20/21,4265.11,4336.84,4262.05,4323.06
07/19/21,4296.4,4296.4,4233.13,4258.49
07/16/21,4367.43,4375.09,4322.53,4327.16
07/15/21,4369.02,4369.02,4340.7,4360.03
07/14/21,4380.11,4393.68,4362.36,4374.3
07/13/21,4381.07,4392.37,4366.92,4369.21
07/12/21,4372.41,4386.68,4364.03,4384.63
07/09/21,4329.38,4371.6,4329.38,4369.55
07/08/21,4321.07,4330.88,4289.37,4320.82
07/07/21,4351.01,4361.88,4329.79,4358.13
07/06/21,4356.46,4356.46,4314.37,4343.54
07/02/21,4326.6,4355.43,4326.6,4352.34
07/01/21,4300.73,4320.66,4300.73,4319.94
06/30/21,4290.65,4302.43,4287.96,4297.5
06/29/21,4293.21,4300.52,4287.04,4291.8
06/28/21,4284.9,4292.14,4274.67,4290.61
06/25/21,4274.45,4286.12,4271.16,4280.7
06/24/21,4256.97,4271.28,4256.97,4266.49
06/23/21,4249.27,4256.6,4241.43,4241.84
06/22/21,4224.61,4255.84,4217.27,4246.44
06/21/21,4173.4,4226.24,4173.4,4224.79
06/18/21,4204.78,4204.78,4164.4,4166.45
06/17/21,4220.37,4232.29,4196.05,4221.86
06/16/21,4248.87,4251.89,4202.45,4223.7
06/15/21,4255.28,4257.16,4238.35,4246.59
06/14/21,4248.31,4255.59,4234.07,4255.15
06/11/21,4242.9,4248.38,4232.25,4247.44
06/10/21,4228.56,4249.74,4220.34,4239.18
06/09/21,4232.99,4237.09,4218.74,4219.55
06/08/21,4233.81,4236.74,4208.41,4227.26
06/07/21,4229.34,4232.34,4215.66,4226.52
06/04/21,4206.05,4233.45,4206.05,4229.89
06/03/21,4191.43,4204.39,4167.93,4192.85
06/02/21,4206.82,4217.37,4198.27,4208.12
06/01/21,4216.52,4234.12,4197.59,4202.04
05/28/21,4210.77,4218.36,4203.57,4204.11
05/27/21,4201.94,4213.38,4197.78,4200.88
05/26/21,4191.59,4202.61,4184.11,4195.99
05/25/21,4205.94,4213.42,4182.52,4188.13
05/24/21,4170.16,4209.52,4170.16,4197.05
05/21/21,4168.61,4188.72,4151.72,4155.86
05/20/21,4121.97,4172.8,4121.97,4159.12
05/19/21,4098.45,4116.93,4061.41,4115.68
05/18/21,4165.94,4169.15,4125.99,4127.83
